Class;Order;Superfamily
CLASSI;;
CLASSI;LTR;
CLASSI;LTR;COPIA
CLASSI;LTR;GYPSY
CLASSI;LTR;BELPAO
CLASSI;LTR;ERV
CLASSI;LTR;TRIM
CLASSI;LTR;LARD
CLASSI;LINE;
CLASSI;SINE;
CLASSI;LINE;R2
CLASSI;LINE;RTE
CLASSI;LINE;JOCKEY
CLASSI;LINE;L1
CLASSI;LINE;I
CLASSI;LINE;R1
CLASSI;LINE;CR1
CLASSI;LINE;LOA
CLASSI;LINE;L2
CLASSI;PLE;
CLASSI;DIRS;DIRS
CLASSI;DIRS;NGARO
CLASSI;DIRS;VIPER
CLASSII;;
CLASSII;MITE;
CLASSII;TIR;
CLASSII;TIR;TC1MARINER
CLASSII;TIR;HAT
CLASSII;TIR;MUTATOR
CLASSII;TIR;MERLIN
CLASSII;TIR;TRANSIB
CLASSII;TIR;P
CLASSII;TIR;PIGGYBAC
CLASSII;TIR;PIFHARBINGER
CLASSII;TIR;CACTA
CLASSII;TIR;MULE
CLASSII;TIR;CMC
CLASSII;HELITRON;
CLASSII;MAVERICK;
CLASSII;CRYPTON;
